         1159224 function calls (1156976 primitive calls) in 0.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _compiler.py:578(_code)
       53    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      373    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
     3377    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 __init__.py:809(_sanity_check)
        1    0.000    0.000    0.000    0.000 function_base.py:27(linspace)
       67    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      117    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      365    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:1291(__ror__)
      128    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:528(__new__)
     1910    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
     29/9    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
     1708    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        3    0.000    0.000    0.000    0.000 warnings.py:133(filterwarnings)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      186    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
     1465    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
      104    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
       75    0.000    0.000    0.000    0.000 inspect.py:2743(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
      186    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
      699    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       10    0.000    0.000    0.000    0.000 typing.py:1074(_generic_class_getitem)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
  533/455    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      458    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      106    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      948    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      956    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
    383/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        5    0.000    0.000    0.000    0.000 typing.py:1855(__new__)
      146    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     2267    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      682    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      167    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        9    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      448    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      614    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       13    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      837    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1736    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       38    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      837    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       63    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
  672/594    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      465    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       24    0.000    0.000    0.000    0.000 inspect.py:3029(__init__)
      216    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
       18    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
